gene_id,role
LOC100119378,"F-box/LRR-repeat protein 20, transcript variant X2"
LOC100117881,zinc finger protein 358
LOC100116918,"zinc finger-containing ubiquitin peptidase 1, transcript variant X2"
LOC100679002,"zinc finger protein rotund, transcript variant X9"
LOC100116283,"zinc finger protein castor homolog 1, transcript variant X2"
LOC116417875,homeobox protein 6-like
LOC100678062,"zinc finger protein rotund, transcript variant X1"
LOC107981275,"GATA zinc finger domain-containing protein 14, transcript variant X2"
LOC116417982,zinc finger protein 431-like
LOC116418162,zinc finger protein 423-like
LOC107982099,zinc finger protein GIS2-like
LOC116415715,GATA zinc finger domain-containing protein 14-like
LOC100678569,neutral alpha-glucosidase AB-like
LOC100123787,hexosaminidase D
TRNAM-CAU,tRNA-Met
LOC100123835,L-allo-threonine aldolase
LOC116416024,cellular tumor antigen p53-like
LOC116415990,cellular tumor antigen p53-like
LOC100120342,"SR-related and CTD-associated factor 4, transcript variant X5"
LOC100678432,"RUN and FYVE domain-containing protein 1, transcript variant X1"
LOC100115791,"Y+L amino acid transporter 2, transcript variant X1"
LOC100115747,UBX domain-containing protein 7
LOC100119329,tubulin-specific chaperone D
Th1,"negative elongation factor D, transcript variant X1"
LOC100115419,gem-associated protein 2
LOC100120611,cathepsin L
Lage3,"L antigen family, member 3, transcript variant 1"
LOC100120535,"D-arabinitol dehydrogenase 1, transcript variant X2"
LOC100119707,L-lactate dehydrogenase-like
LOC100118743,"L-lactate dehydrogenase, transcript variant X1"
LOC100119732,"L-lactate dehydrogenase-like, transcript variant X3"
LOC100121222,alpha-L-fucosidase
LOC100121416,"Krueppel-like factor luna, transcript variant X1"
LOC100122388,ATP-binding cassette sub-family D member 3
TRNAM-CAU_1,tRNA-Met
TRNAM-CAU_2,tRNA-Met
LOC100114817,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial"
LOC100114330,"cell death-inducing p53-target protein 1, transcript variant X6"
LOC100116222,"probable GDP-L-fucose synthase, transcript variant X1"
LOC100115941,"D-2-hydroxyglutarate dehydrogenase, mitochondrial"
LOC100678630,"protein jim lovell, transcript variant X4"
LOC100118475,"transcription factor AP-2-epsilon, transcript variant X3"
LOC100117775,"disco-interacting protein 2, transcript variant X8"
LOC100679013,"transcription factor cwo, transcript variant X3"
LOC100115265,"Krueppel-like factor luna, transcript variant X1"
LOC100119447,myb-binding protein 1A
LOC100678106,myb-like protein Q
LOC100122367,"eukaryotic translation initiation factor 3 subunit D, transcript variant X1"
LOC100122785,"Y+L amino acid transporter 2, transcript variant X2"
LOC100122843,"N-acetyl-D-glucosamine kinase, transcript variant X1"
LOC100123603,"apoptosis-stimulating of p53 protein 2, transcript variant X7"
LOC100114809,"methylmalonic aciduria and homocystinuria type D homolog, mitochondrial, transcript variant X3"
LOC100114845,"L-galactose dehydrogenase, transcript variant X2"
LOC100123930,"basic helix-loop-helix transcription factor amos, transcript variant X7"
LOC100113758,"AP-3 complex subunit mu-1, transcript variant X14"
LOC100115771,"DNA directed RNA polymerase II polypeptide D, transcript variant X2"
LOC100114626,"protein-L-isoaspartate(D-aspartate) O-methyltransferase, transcript variant X2"
LOC100118419,"UBX domain-containing protein 6, transcript variant X1"
LOC100680197,"myb-like protein Q, transcript variant X1"
LOC100120795,"60 kDa SS-A/Ro ribonucleoprotein, transcript variant X1"
LOC100121692,"transcription factor Dp-1, transcript variant X2"
LOC100114390,"AP-1 complex subunit gamma-1, transcript variant X13"
TRNAM-CAU_3,tRNA-Met
LOC100119990,aromatic-L-amino-acid decarboxylase
LOC100120061,"aromatic-L-amino-acid decarboxylase, transcript variant X2"
LOC100121637,"AP-3 complex subunit delta-1, transcript variant X2"
LOC100121703,RUN domain-containing protein 1
LOC103316397,"protein Fer3, transcript variant X2"
LOC100123867,D-glucuronyl C5-epimerase B
LOC100123837,"lysophospholipase D GDPD1, transcript variant X1"
LOC100123731,basic helix-loop-helix neural transcription factor TAP
LOC100123711,myb-like protein X
LOC100122248,hybrid signal transduction histidine kinase L
LOC100679843,myb-like protein I
LOC100119653,"Y+L amino acid transporter 2, transcript variant X2"
LOC100120196,"protein hu-li tai shao, transcript variant X5"
LOC100678482,"1,5-anhydro-D-fructose reductase"
LOC100678521,"1,5-anhydro-D-fructose reductase"
LOC100120576,"1,5-anhydro-D-fructose reductase-like, transcript variant X2"
LOC100121164,"myb-like protein A, transcript variant X1"
LOC100118424,D-aspartate oxidase
LOC100118014,"protein jim lovell, transcript variant X2"
LOC100120108,EF-hand domain-containing family member C2
LOC100679549,"myb-like protein AA, transcript variant X6"
LOC100118091,"apolipoprotein D, transcript variant X1"
LOC100122394,"apolipoprotein D-like, transcript variant X1"
LOC100122379,"transcription factor Ken 1, transcript variant X1"
LOC100121872,AP-3 complex subunit beta-1
LOC100117789,V-type proton ATPase subunit d
TRNAM-CAU_4,tRNA-Met
TRNAM-CAU_5,tRNA-Met
LOC100679926,myb-like protein X
LOC100121373,"L-ascorbate oxidase, transcript variant X2"
LOC100122119,"5-phosphohydroxy-L-lysine phospho-lyase, transcript variant X1"
LOC100113912,"AP-1 complex subunit sigma-2, transcript variant X1"
LOC100120555,venom serine protease Bi-VSP
LOC100118213,"protein polybromo-1, transcript variant X2"
LOC100678972,GDP-D-glucose phosphorylase 1
LOC100117481,"serine/threonine-protein kinase D1, transcript variant X1"
LOC100116779,"protein max, transcript variant X2"
LOC100115389,"REPTOR-binding partner, transcript variant X1"
LOC100117476,aromatic-L-amino-acid decarboxylase
LOC100116336,galactoside 2-alpha-L-fucosyltransferase 3
LOC100120315,protein Peter pan
LOC100679977,"myb-like protein X, transcript variant X1"
LOC100123138,venom protein Z
LOC100116507,c-Myc-binding protein homolog
LOC100121284,"protein odd-skipped-related 2, transcript variant X3"
LOC100302046,"venom protein D, transcript variant X1"
TRNAM-CAU_6,tRNA-Met
LOC100123237,"calpain-D, transcript variant X4"
LOC100117777,"AP-1 complex subunit beta-1, transcript variant X1"
LOC100122359,centromere protein L-like
LOC100121533,"p53 and DNA damage-regulated protein 1, transcript variant X1"
LOC100679697,"myb-like protein X, transcript variant X2"
LOC100119875,alpha-L-fucosidase-like
LOC100118529,"apolipoprotein D, transcript variant X1"
LOC100115386,"transcriptional activator Myb, transcript variant X8"
LOC107980466,L-xylulose reductase
LOC107980890,L-xylulose reductase-like
LOC100114137,L-xylulose reductase
LOC100114220,eukaryotic translation initiation factor 3 subunit L
LOC100118579,fork head domain transcription factor slp1
LOC100115746,"L-2-hydroxyglutarate dehydrogenase, mitochondrial, transcript variant X4"
LOC100119090,protein-L-isoaspartate(D-aspartate) O-methyltransferase
LOC100117520,"EF-hand calcium-binding domain-containing protein 1, transcript variant X5"
LOC100114041,"AP-2 complex subunit mu, transcript variant X4"
LOC100679202,"myb-like protein X, transcript variant X2"
LOC100679293,"transcriptional regulator ovo, transcript variant X1"
LOC100122354,"high mobility group protein DSP1, transcript variant X2"
LOC100122498,carboxypeptidase D
LOC100122844,gem-associated protein 5
LOC100115220,"kinase D-interacting substrate of 220 kDa, transcript variant X1"
LOC100118951,"protein-L-isoaspartate(D-aspartate) O-methyltransferase, transcript variant X1"
LOC100115584,D-aspartate oxidase
LOC116416715,myb-like protein D
cycD,"cyclin D, transcript variant X1"
LOC100123164,D-aspartate oxidase
LOC100122921,hexosaminidase D
LOC100121897,pair-rule protein odd-paired
LOC100117696,gem-associated protein 6
LOC100116036,AP-2 complex subunit sigma
LOC100115096,"L-asparaginase, transcript variant X2"
LOC100113526,"histone-lysine N-methyltransferase E(z), transcript variant X1"
LOC100118000,EF-hand domain-containing protein 1
LOC116417252,"1,5-anhydro-D-fructose reductase-like"
LOC116417178,"myb-like protein X, transcript variant X3"
LOC100114694,"ecdysone-induced protein 75B, isoforms C/D, transcript variant X5"
LOC100678412,INO80 complex subunit D
LOC100116032,"1,5-anhydro-D-fructose reductase, transcript variant X2"
SdhD,"succinate dehydrogenase complex, subunit D, integral membrane protein, transcript variant X2"
LOC100116394,"glycoprotein 3-alpha-L-fucosyltransferase A, transcript variant X4"
LOC100119832,V-type proton ATPase subunit D
LOC100121199,"carboxylesterase clade L, member 6, transcript variant X1"
LOC116417288,myb-like protein D
LOC100119270,cyclic AMP-dependent transcription factor ATF-2
LOC100118123,basic helix-loop-helix transcription factor amos
LOC100302001,venom protein L
LOC100123087,transcription factor AP-1
LOC100678476,protein bicaudal D-like
LOC100123028,"protein bicaudal D, transcript variant X2"
LOC100122809,"run domain Beclin-1-interacting and cysteine-rich domain-containing protein, transcript variant X2"
LOC100120813,max-like protein X
Zasp66,"Z band alternatively spliced PDZ-motif protein 66, transcript variant X7"
LOC100114796,"AP-1 complex subunit mu-1, transcript variant X1"
TRNAM-CAU_7,tRNA-Met
LOC107981851,myb-like protein D
LOC100113923,"tether containing UBX domain for GLUT4, transcript variant X1"
TRNAM-CAU_8,tRNA-Met
LOC100123352,aminopeptidase Ey
Atp5h,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit d"
LOC100678143,"CAD protein, transcript variant X2"
GstD1,glutathione S-transferase D1
LOC100122330,"bicaudal D-related protein homolog, transcript variant X3"
Efhd1,"EF-hand domain family, member D1"
LOC100120032,protein sister of odd and bowel-like
LOC100119973,protein odd-skipped
Cpap3-d1,cuticular protein analogous to peritrophins 3-D1
LOC100187597,"KN motif and ankyrin repeat domain-containing protein 2-like, transcript variant X1"
LOC100124286,"aminopeptidase Ey, transcript variant X3"
LOC100120482,"ribonuclease Z, mitochondrial"
LOC100119700,apolipoprotein D
LOC100118502,"AP-3 complex subunit sigma-2, transcript variant X4"
LOC100117055,"UBX domain-containing protein 4, transcript variant X2"
TRNAM-CAU_9,tRNA-Met
LOC100119878,"carboxylesterase clade D, member 2"
LOC100116126,"cellular tumor antigen p53, transcript variant X2"
TRNAM-CAU_10,tRNA-Met
LOC100679582,"EF-hand calcium-binding domain-containing protein 1, transcript variant X1"
LOC100124110,"protein D1-like, transcript variant X1"
LOC100124004,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
LOC116738599,"longitudinals lacking protein, isoforms A/B/D/L-like"
LOC116417584,"longitudinals lacking protein, isoforms A/B/D/L-like"
LOC107981102,"longitudinals lacking protein, isoforms A/B/D/L"
LOC100122642,"sortilin-related receptor, L(DLR class) A repeats-containing-like, transcript variant X2"
LOC100122557,"L-threonine 3-dehydrogenase, mitochondrial, transcript variant X1"
LOC100114121,"protein l(2)37Cc, transcript variant X1"
LOC100113917,"max dimerization protein 1, transcript variant X7"
LOC100118065,"ATP-binding cassette sub-family D member, transcript variant X1"
LOC100117527,"voltage-dependent L-type calcium channel subunit beta-2, transcript variant X10"
LOC100117029,"carboxylesterase clade D, member 3"
CCE-D4,"carboxylesterase clade D, member 4"
CCE-D5,"carboxylesterase clade D, member 5"
LOC100116956,"carboxylesterase clade D, member 1"
